1,"E06000001","Hartlepool","-1.270180000000000","54.676139999999997","POLYGON ((-1.2409798429488597 54.72318349327766,-1.2518504597705156 54.71961248231065,-1.270237362394558 54.72715842720914,-1.305506733350906 54.71751142651249,-1.301312636384319 54.70809081934833,-1.3193153448657011 54.691346496572216,-1.3445118277992312 54.69111060163,-1.3309317233557951 54.682123236758095,-1.3478372304783133 54.66241017823454,-1.3412398775103873 54.65020087677869,-1.3808848085154042 54.643906176244414,-1.335046640018955 54.63131256374253,-1.3288491518302608 54.643990402788916,-1.316349739952518 54.645223613452174,-1.298999443949639 54.6279702234165,-1.2506916632377765 54.62530728375802,-1.2006381309076355 54.6229323652135,-1.1882353965490227 54.63259296644962,-1.1731516559896127 54.63370385428183,-1.1576225867729957 54.64819481733423,-1.175868906270257 54.65340935135193,-1.1990922761556906 54.68057531659021,-1.1880270705152127 54.69335075013581,-1.1962409617100258 54.69857287323934,-1.1739797156410947 54.691810535033106,-1.176154551853605 54.6976755906329,-1.2409798429488597 54.72318349327766))"
2,"E06000002","Middlesbrough","-1.210990000000000","54.544670000000004","POLYGON ((-1.2008843696610072 54.577626743955754,-1.2521752699505764 54.590616245062016,-1.2617774722539103 54.569958277889455,-1.2793338545189747 54.565126378272524,-1.2813542031419918 54.56457009673057,-1.2759265074131227 54.560307226272954,-1.2706180902756716 54.55613694126017,-1.2777697873234939 54.54661184378029,-1.282235869125079 54.518368874574676,-1.234852613398609 54.51030368510598,-1.1461836003084234 54.502809042771666,-1.1373550416197742 54.51498249813751,-1.1597266647789162 54.51582387167457,-1.1613065648839764 54.52496670451641,-1.1990493132893807 54.54448454625607,-1.1666492689871493 54.5540402541646,-1.190545626667902 54.57495722508338,-1.2008843696610072 54.577626743955754))"
3,"E06000003","Redcar and Cleveland","-1.006080000000000","54.567520000000002","POLYGON ((-1.1975022873087868 54.582096608637045,-1.2008843696610072 54.577626743955754,-1.190545626667902 54.57495722508338,-1.1666492689871493 54.5540402541646,-1.1990493132893807 54.54448454625607,-1.1613065648839764 54.52496670451641,-1.1597266647789162 54.51582387167457,-1.1373550416197742 54.51498249813751,-1.1461836003084234 54.502809042771666,-1.1183661865640904 54.49818596179971,-1.0945094508283988 54.5067471312199,-1.036836168422382 54.49403125123014,-1.0033850243952294 54.50299915241591,-0.952934955064501 54.48802233931819,-0.8808087041023185 54.49703322513873,-0.8485148100137094 54.487959122880014,-0.8486304471512537 54.52999016986807,-0.8269688575850568 54.548561372485864,-0.8004031704390882 54.550997194470206,-0.7942349232602702 54.558429314167135,-0.8534179191325465 54.57176682310217,-0.8982490875231542 54.57125219947898,-0.9381574338482711 54.58893872405733,-0.9614678501331156 54.58490004911029,-1.000528312518672 54.59322556667288,-1.052564712304408 54.61645681314099,-1.112765987841519 54.627697154622204,-1.1374166151544016 54.64758290576044,-1.1353747484628665 54.62968344449405,-1.154317215116528 54.6276910123405,-1.1508268347125012 54.61512364887531,-1.132275317058357 54.60856164172922,-1.1517616844087712 54.614519169939335,-1.1575195808548984 54.60540433549452,-1.1467331168048593 54.59906932016602,-1.1601748949477615 54.60448767487589,-1.1975022873087868 54.582096608637045))"
4,"E06000004","Stockton-on-Tees","-1.306640000000000","54.556910999999999","POLYGON ((-1.1975022873087868 54.582096608637045,-1.1855654431306886 54.59139328166249,-1.1599608031983288 54.61131635232045,-1.1679492158064222 54.62932309152271,-1.172963481051203 54.62152973335955,-1.2006381309076355 54.6229323652135,-1.2506916632377765 54.62530728375802,-1.298999443949639 54.6279702234165,-1.316349739952518 54.645223613452174,-1.3288491518302608 54.643990402788916,-1.335046640018955 54.63131256374253,-1.3808848085154042 54.643906176244414,-1.4128103032569215 54.61658052292258,-1.4509020344500516 54.610502503219145,-1.4383441240522656 54.595068361523865,-1.4233153004246446 54.60311561327662,-1.4072797533708454 54.593716952085416,-1.4113349309346193 54.564807795286924,-1.446744897510125 54.55565718507997,-1.4495970294819718 54.53295646278008,-1.4214746011224377 54.51962607619939,-1.4348947880894838 54.487481807817026,-1.4321072213969799 54.47944326083595,-1.4127753791451452 54.47718414514093,-1.4070777450611403 54.49351820927926,-1.3950386877062089 54.48566867000645,-1.3809989050037672 54.49401755590803,-1.3725497374155826 54.47229624197224,-1.364405177836369 54.465941160558046,-1.3449026077594193 54.47239679143692,-1.3436165850025135 54.46414414152846,-1.300324564579513 54.47583811531369,-1.280965349883241 54.490431145025134,-1.2573899732787928 54.48730939565585,-1.2566614089357326 54.50109571395357,-1.234852613398609 54.51030368510598,-1.282235869125079 54.518368874574676,-1.2777697873234939 54.54661184378029,-1.2706180902756716 54.55613694126017,-1.2759265074131227 54.560307226272954,-1.2813542031419918 54.56457009673057,-1.2793338545189747 54.565126378272524,-1.2617774722539103 54.569958277889455,-1.2521752699505764 54.590616245062016,-1.2008843696610072 54.577626743955754,-1.1975022873087868 54.582096608637045))"
192,"E07000175","Newark and Sherwood","-0.946430000000000","53.109600000000000","POLYGON ((-0.6665778550213616 53.23968123210932,-0.6880277087294688 53.25837009202662,-0.7341514587659147 53.25398288079317,-0.7350842532466353 53.24385275603478,-0.7765112108897809 53.246751773095234,-0.779078161737685 53.22046274193182,-0.7814005495569217 53.196648154013864,-0.7872942318299027 53.20454436277332,-0.8215728470748591 53.201329366801936,-0.8398211546977493 53.2188992006174,-0.8578403854746811 53.21218558398162,-0.8942497269576701 53.223650537634185,-0.9489219111604941 53.21409873147598,-0.9472646775418272 53.22580966398167,-0.9675443539482862 53.23531337177816,-1.0070127602870587 53.23629763415103,-1.0276339959081302 53.26101515485367,-1.1032971616686593 53.23558818791139,-1.0947651468929613 53.228594903006716,-1.1112287139855919 53.19890716545361,-1.1530228671554992 53.17511872740469,-1.1110586711671564 53.153408848944714,-1.1301436995466303 53.141599451062454,-1.12021990720896 53.11906245223521,-1.1471258280754892 53.121936929685134,-1.1778937397179345 53.11479203915899,-1.1642542003503416 53.10325101991496,-1.1392899072877423 53.09962668823684,-1.1401507379039755 53.0923336182043,-1.1206462732756395 53.086731078716646,-1.13039361743072 53.073590166745774,-1.0886013852607779 53.07755639759015,-1.093434595487008 53.067334700229786,-1.0806674486483285 53.052451925647986,-1.0297332722305463 53.024236814475394,-1.052451990999457 53.01049436120938,-1.0340902086274757 53.004859439501935,-1.038121154744003 52.99561048393389,-1.0070895061369871 52.98543726174926,-0.9759660420021693 52.98630605095828,-0.9101251874485278 53.03590789565855,-0.8797849082983388 53.00633169534903,-0.8645582410346272 53.01132314845012,-0.8229223759430182 53.000964109013346,-0.81516384376835 52.985639594224104,-0.836076849628204 52.967899990122426,-0.8200271459470356 52.960443034744856,-0.8128561608185991 52.95744280993816,-0.7961555452805695 52.97670973646895,-0.7782841709808748 52.976901494929045,-0.804091819157497 53.01248349973407,-0.7958306468877984 53.010576125773085,-0.7884189571384638 53.02583189156445,-0.7608314231039806 53.02938899456074,-0.7495559335034876 53.055094864889924,-0.716208092250905 53.05903766538609,-0.713470656620968 53.066025516398284,-0.6951363139348659 53.06626904985644,-0.7296214198223604 53.0978811759719,-0.7167587659792505 53.11616389666015,-0.7324104953814962 53.127780748645975,-0.7153783256414653 53.136861956778894,-0.7181621633255695 53.17726678256705,-0.764020704393354 53.18255439627257,-0.7305701400136027 53.21073534526038,-0.7147540150244734 53.20758667445018,-0.6976174271412323 53.22021607538375,-0.67587322343384 53.21762308853509,-0.6665778550213616 53.23968123210932))"
5,"E06000005","Darlington","-1.568350000000000","54.535339000000000","POLYGON ((-1.6969167982891473 54.53599606314213,-1.6579277588686256 54.53457831236328,-1.654665829436161 54.524639382610694,-1.633764525456502 54.52535356619514,-1.633319919796821 54.51410056893852,-1.6114756386650704 54.51998985822396,-1.602628452903998 54.51057066412353,-1.5810596639519618 54.51283457518525,-1.591871845531306 54.50428981373929,-1.5792060167182451 54.50517658484418,-1.5829715163635802 54.49708964210789,-1.5551862534389858 54.48496699663977,-1.5456636583435373 54.47122726061902,-1.5198234633787993 54.471035786530614,-1.5288277412131046 54.48480250998014,-1.514122530527169 54.483763861769326,-1.5113313679880171 54.47500103055621,-1.4917658368438707 54.486189258083925,-1.4990427086822635 54.47566699718184,-1.4753628887007944 54.47383393633246,-1.4720423533559732 54.45558830860998,-1.4561399908765216 54.45243792876657,-1.462781373108414 54.46138098376699,-1.4534037177912338 54.46600416698869,-1.4637887234453384 54.47353960272597,-1.459182478576306 54.49425671400581,-1.474548066224516 54.50069980276071,-1.4584976792534647 54.50390754233785,-1.4348947880894838 54.487481807817026,-1.4214746011224377 54.51962607619939,-1.4495970294819718 54.53295646278008,-1.446744897510125 54.55565718507997,-1.4113349309346193 54.564807795286924,-1.4072797533708454 54.593716952085416,-1.4233153004246446 54.60311561327662,-1.4383441240522656 54.595068361523865,-1.4516944620660979 54.590816792220515,-1.4686773734603191 54.600547928757805,-1.526754206620089 54.59644359849458,-1.5586351327931574 54.59210650255567,-1.5528149264748943 54.582331722510034,-1.5762572641642376 54.58018817645275,-1.5933997664512873 54.59506712556831,-1.5841827176715892 54.61047608322164,-1.6062082775676065 54.603430382178374,-1.6067536485731282 54.61753066119047,-1.6824133457991997 54.617761549866685,-1.6793027693343656 54.585963407447316,-1.6940188653098192 54.58688399189623,-1.708975238367297 54.57413176768016,-1.7092728101731807 54.563169434803854,-1.691197401211262 54.55623447333841,-1.7052648047515793 54.54916178604378,-1.6969167982891473 54.53599606314213))"
193,"E07000176","Rushcliffe","-1.010970000000000","52.912399000000001","POLYGON ((-1.0070895061369871 52.98543726174926,-1.0165565625568662 52.980223764145975,-1.0375665695426015 52.98356446544814,-1.0414653223003303 52.95128297827594,-1.0733415236095338 52.95587049703608,-1.0861188690232517 52.94854948150131,-1.0996804352150586 52.94195478491356,-1.13176332411146 52.94279574374305,-1.141886781586197 52.93196941355136,-1.152291878499534 52.937006313656624,-1.1586075779563947 52.90004208517273,-1.1764297659610716 52.88904777028383,-1.213924289337878 52.90439519136278,-1.220497091494954 52.895544262238765,-1.2397108172739992 52.89226978836873,-1.2400604138114828 52.88008936537541,-1.2678944956090183 52.87334937555714,-1.2743693548116175 52.836110182697766,-1.2619326782879035 52.8104338087928,-1.2258915400677877 52.79165767387894,-1.1977349578155827 52.78939136114632,-1.1632814359030597 52.80650185534743,-1.1308994683014082 52.80580628314706,-1.1169481057891113 52.819556501024834,-1.0744420305427778 52.82470567657129,-1.071745088482433 52.813990413225426,-1.0362962109991096 52.8158565271438,-1.0219399487408916 52.82203107648074,-0.9827157896545445 52.82065419105454,-0.9770805434439959 52.840716866991336,-0.9595097831251816 52.84376096663137,-0.9281267419502356 52.86606245382324,-0.9405788005334937 52.8768351526721,-0.9169298092536208 52.87891065640138,-0.8576378557533263 52.90562137427843,-0.8628976765932501 52.91309292669761,-0.8243656817790183 52.941768412360105,-0.8339136423190339 52.94585933723324,-0.8200271459470356 52.960443034744856,-0.836076849628204 52.967899990122426,-0.81516384376835 52.985639594224104,-0.8229223759430182 53.000964109013346,-0.8645582410346272 53.01132314845012,-0.8797849082983388 53.00633169534903,-0.9101251874485278 53.03590789565855,-0.9759660420021693 52.98630605095828,-1.0070895061369871 52.98543726174926))"
6,"E06000006","Halton","-2.688530000000000","53.334240000000001","MULTIPOLYGON (((-2.6751876634524128 53.354439317506426,-2.699351637554826 53.35669387493809,-2.7189965720524993 53.34482145658662,-2.754336128928528 53.34314349679973,-2.7633914798899863 53.32765999163466,-2.7524317188187757 53.314744303166236,-2.737889724936274 53.30664448368252,-2.723524818371759 53.31312447985108,-2.7008004344574355 53.30579228827945,-2.6851510804805265 53.31543657195932,-2.641557999209577 53.305020069028224,-2.6450623618460285 53.310120291428824,-2.624123936204192 53.309383234708356,-2.6199358963372945 53.32030577908123,-2.6090877488252366 53.31205603958054,-2.5952243022180292 53.32243893363173,-2.619126237447326 53.33105529023572,-2.6066072720524 53.34298026558323,-2.631468025058135 53.34601799756349,-2.630622472137588 53.364034247946634,-2.6751876634524128 53.354439317506426)),((-2.7451748720401272 53.40207957836728,-2.7576537573764095 53.38072182661939,-2.7766708107700073 53.38104278217278,-2.787300974263641 53.356274438967354,-2.8188068162046354 53.347984938751374,-2.8187797664940963 53.33975580077771,-2.832457255610667 53.337273645593676,-2.8266610052242522 53.33164104922707,-2.7886310630941082 53.32252408895869,-2.7776906318233916 53.3292647750839,-2.7842875023454328 53.33641540560505,-2.778220133456729 53.33261052502956,-2.759132535244709 53.34959128908869,-2.764490446254469 53.35527037736231,-2.734308020929185 53.34775836415745,-2.6933780330970984 53.36180021253382,-2.6906323961318876 53.38537214404152,-2.7128032086573293 53.39060987454971,-2.7152268091118383 53.399018764114416,-2.7451748720401272 53.40207957836728)))"
7,"E06000007","Warrington","-2.561670000000000","53.391627999999997","POLYGON ((-2.576743039292419 53.44604090600257,-2.585296336321513 53.439790823711306,-2.5986855409366543 53.45039754520295,-2.5962310130694326 53.44265000664074,-2.627463077604192 53.43439657501102,-2.639136723480875 53.44437499508782,-2.67717150172949 53.45277018635961,-2.6820765173773213 53.43888534881785,-2.6685144600378066 53.44089100020919,-2.675268380344685 53.43294926639448,-2.6635551595049614 53.42869764595349,-2.676316988495639 53.38760335322228,-2.6906323961318876 53.38537214404152,-2.6933780330970984 53.36180021253382,-2.6751876634524128 53.354439317506426,-2.630622472137588 53.364034247946634,-2.631468025058135 53.34601799756349,-2.6066072720524 53.34298026558323,-2.619126237447326 53.33105529023572,-2.5952243022180292 53.32243893363173,-2.586290949672555 53.32938119616109,-2.5618763835350715 53.323326978948884,-2.5183940843652097 53.342374252757246,-2.5210506197955507 53.347884501528505,-2.4868792807604057 53.36788761694428,-2.4398812021520992 53.36664631040101,-2.4265908521587822 53.387444897090596,-2.478454663192052 53.39620186139637,-2.449378933688197 53.4158750154026,-2.4897148024258025 53.46026652891568,-2.4963356579572995 53.480913769690545,-2.5526390124309195 53.46779762826302,-2.54907603364332 53.46146994049893,-2.5703901732947014 53.45845947740133,-2.576743039292419 53.44604090600257))"
8,"E06000008","Blackburn with Darwen","-2.463600000000000","53.700802000000003","POLYGON ((-2.5512999720296516 53.75637328130057,-2.561603755357835 53.74688607558142,-2.539795532231213 53.7021756948745,-2.5153779591680796 53.69165290180776,-2.532346367963479 53.66488624938648,-2.511324641892512 53.62697900125463,-2.479197147559756 53.61701992812416,-2.4597018658882295 53.62002668391167,-2.4387263234743495 53.64602940321399,-2.421698286803452 53.623819474041085,-2.379134007681292 53.63085416123151,-2.3703297914605934 53.63151810665159,-2.362748402809102 53.6553853496417,-2.371237960655969 53.66706464361805,-2.3744256875883623 53.68723866730146,-2.3983499258303986 53.69154408524551,-2.4109908146404924 53.70512110160963,-2.4338701735866652 53.71916617848146,-2.4400686867587082 53.74940296849084,-2.451781265791332 53.7564393425569,-2.446318087166057 53.76657499914631,-2.4658089960038403 53.78079909365747,-2.5512999720296516 53.75637328130057))"
